ID,Age ,Income,Car,Prop,Biz,Debtmonthly,debtmaturity,family,responsibility,skepticisim,determinism,introvert,informed,cash_p,satisfaction
1,27,26511,16029,286833,621770,1386,93,1,1,4,1,5,3,2,1
2,32,26454,71519,177965,1012568,4533,215,1,3,4,1,3,1,5,2
3,34,16755,36633,461392,1182264,6885,133,4,3,4,5,3,3,5,3
4,32,17242,48940,663750,677354,1290,136,3,2,2,4,3,3,1,5
5,27,22753,14709,566157,1084866,3201,76,1,3,2,3,3,4,1,3
6,29,44621,26964,954878,436891,8542,219,4,5,2,2,3,3,1,3
7,27,14727,25371,933996,378193,2935,20,3,3,5,4,2,2,1,5
8,28,38350,17838,1035301,463996,1162,57,4,2,1,3,3,5,2,3
9,24,8132,86812,36612,280482,6166,109,4,5,5,5,2,4,2,4
10,35,44747,80562,640483,667556,1102,30,2,2,2,4,1,3,4,3
11,32,9506,16533,191009,917174,4712,207,1,3,1,1,2,2,4,2
12,25,13078,52576,699471,941936,3947,72,1,5,3,4,2,2,2,1
13,29,25842,17701,628164,758562,1590,1,1,2,2,3,1,3,4,3
14,29,20873,10607,357321,61234,6258,207,2,1,2,3,5,2,5,2
15,28,12059,66590,802740,687055,7747,154,4,4,2,5,5,5,5,5
16,26,37680,64132,140857,409947,8751,40,3,4,3,1,5,2,4,1
17,31,26875,3623,819523,111613,5495,37,2,4,5,3,2,1,3,1
18,32,30133,61276,794051,638087,6958,200,4,4,3,4,1,3,1,5
19,30,13473,21449,628354,698171,4074,56,3,2,3,3,2,5,5,2
20,32,27179,28033,881573,379293,9786,152,2,5,2,3,2,5,4,5
21,30,39429,27046,987691,357362,8090,104,1,5,1,1,5,1,4,2
22,30,44065,26896,584459,1046986,102,174,5,3,5,5,1,5,5,4
23,35,43415,68991,277152,1205521,1314,56,3,2,3,3,5,3,3,2
24,27,14940,22093,328397,218568,5787,97,4,1,2,5,5,4,2,1
25,33,41795,60007,590692,1142282,6698,94,3,4,4,4,2,2,2,3
26,31,21394,74370,1023668,384108,3422,117,3,5,4,5,5,4,4,3
27,35,18836,6789,829295,1183413,7074,48,1,1,1,5,2,5,2,5
28,32,35530,77040,376356,399440,9857,31,2,1,2,5,3,2,1,1
29,35,18426,80628,777456,266605,3496,16,1,4,4,5,5,4,4,3
30,27,10610,1216,498583,1240866,8040,62,5,3,1,1,5,5,5,1
31,28,17646,15286,400267,1122574,7353,74,4,2,1,3,1,4,4,1
32,26,14739,51749,234154,731505,4852,106,1,3,1,5,5,5,4,5
33,30,27862,7454,585267,713330,9963,68,3,3,3,3,5,1,5,4
34,30,9047,34724,703637,259516,3265,169,1,5,4,2,3,5,1,1
35,27,29038,14987,723343,1097373,764,112,3,3,4,5,5,4,5,2
36,28,39483,81533,1193485,474641,4244,54,5,1,2,3,2,5,3,2
37,35,20783,46659,299176,1084261,3202,87,5,3,4,3,3,1,1,3
